Pattern ID;Pattern Name;Description;Alias;Sub category;Category;Motivation;Solution;Consequences;Examples;Related Patterns;Resources;Link;Type;Comments
P47;Tool/Agent Registry Pattern;The Tool/Agent Registry maintains a unified and convenient source to select diverse agents and tools. On the other hand The Event-Driven Tool Invocation Pattern make sure that the agentic system can trigger tool in response to events as they arise.;Event Driven Invocation Pattern [2];;Tool Use Pattern [1], Event-Driven & Asynchronous Pattern [2];The need for the the task executor to cooperate with other agents or leverage external tools for expanded capabilities. But it might be difficult for agents and users to discover available agents and tools. Also the user/agents need to finalise further agent and tool selection within a certain time period and taking into consideration specific requirements of some tasks.;The user prompts goals to an agent and then the agent decomposes the goals to fine grained tasks. The agent then can query tool/agent registry (main entry point for collecting and categorising various tools & agents regarding a series of metrics). Then bsed on returned info the agent can employ and assign the tasks to respective tools and agents.  ;;;;liu_agent_2024[1], horne_agentic_nodate[1], mark_lane_2025[2];;White;
P48;Agent Adapter Pattern;An agent adapter provides interface to connect the agent and external tools for task completion.;;;Tool Use Pattern;An agent may leverage external tools to complete certain tasks for expanded capabilities. But the problem is that the agent needs to deal with different interfaces of diverse tools while certain interfaces might need agents to process particular info during intermediate steps. Manual development of compatible interfaces for agents and external tools can be intensive and inefficient. ;Given users' instructions the agent generates a plan consisting of a set of tasks to achieve users' goals in particular the agent may employ diverse external tools to complete different tasks. Taking into consideration that different tools have different interfaces, therefore resulting in different abstraction levels for the agent to cope with. The agent agapter will help invoke and manage these interfaces by converting  the agent messages into the required fromat and content. ;;;;liu_agent_2024, horne_agentic_nodate;;White;
P49;Routing Pattern;This pattern simply classifies an input and directs it to a specialized follow up task.;;;Workflow Pattern;Different types of inputs often require different handling strategies. For example if a single model or prompt is forced to manage all categories, performance can degrade because the optimization for one type of input may conflict with others. To achieve higher accuracy and efficiency, there is a need to separate inputs into categories and process them through specialized follow up tasks.;Introducing a routing workflow that classifies inputs and directs them to the most appropriate specialized task, model, or prompt. A router (either an LLM or a traditional classifier) determines the category of the input and forwards it to the corresponding downstream process.;;;;grey_anthropic;;Grey;
P50;Parallelization Pattern;In this pattern the agents work simultaneously on a task and have their outputs aggregated programmatically.;;;Workflow Pattern;Some tasks for the agentic systems are too complex to be handled effectively by a single LLM call. Certain tasks require either faster throughput or higher reliability. ;A parallelization of tasks where multiple LLM calls are executed simultaneously and their outputs are aggregated.;;;;grey_anthropic, mongodb_here_2025;;Grey;
P51;Swarming Pattern [1];When multiple LLM agents each have specialized expertise or perspectives they work together like a panel of experts discussing evaluating and refining potential solutions.;Expert Panel Pattern[2];;Coordination-Cooperation Pattern;In some cases, it might not be enough to employ autonomous agents on independent tasks with different goals.;To adress this issue multiple agents are deployed with a single task and a shared goal.;;;;dhanoa_agentic_2025[1], mark_lane_2025[2];;White;
P52; Supervisor Pattern [1];This pattern makes sure that one LLM agent (supervisor) takes on a higher level managerial role and distributes the tasks accordingly,  while the other agents focus on executing the assigned by the supervisor agent subtasks. ;Supervisor Worker Pattern [2], Supervision [3], Orchestrator-Worker pattern [4], Task Delegation Pattern [5];LLM-LLM [5];Orchestration Pattern [2], Workflow Pattern [1][4], Architecture Pattern [3], Interaction Pattern [5];Agents without having a task delegated to them might work at cross-purposes, spend efforts on delegating themselves, or fail to integrate their output to the cause of the system. These type of coordination issues waste resources and produce inconsistent results. ;The supervisor agent architecture handles the delegation of task, the communication between the agents,  the deadline setting, and the final integration. On the other hand, the worker agents focus on their assigned operations. This division improves order and reduces conflicts between agents. ;;;;mongodb_here_2025 [1],mark_lane_2025[2][5], noauthor_multi_nodate[3], grey_anthropic[4];;Grey and White;
P53;Hierarchical Decomposition Pattern  [1][7];This pattern makes sure that when the system has to deal with many different subtasks it organizes a hierarchical structure among the agents. ;Recursive Decomposition [2], Hierarchical Task Manager Pattern [3], Hierarchical Agents [4];;Cognitive Pattern [1][2], Orchestration Pattern [3][4][6], Workflow Pattern [5], Architecture Pattern [7];Often single level supervisory structures can become inefficient and prone to errors. Complex problem spaces require decomposition into manageable parts, and without structured oversight the coordination breaks down.;Adopting  a hierarchical agent architecture, where supervisors manage groups of agents and higher-level supervisors oversee those mid level supervisors. This layered control enables logical task decomposition and improved focus for specialized sub-agents.;;;;wray_applying_2025[1],mark_lane_2025[2][3][6], horne_agentic_nodate[4], mongodb_here_2025 [5], noauthor_multi_nodate[7];;White;
P54;Network Pattern;Allows for many to many communication paths between the peer to peer agents, making it suitable for problems without clear hierarchical decomposition.;;;Architecture Pattern [1], Multi-Agent Collaboration Pattern [2];Sometimes developers do not have clear views on which agent should collaborate with which other because there is not a clear straightforward hierarchical decomposition.;The adoption of this workflow pattern makes a more flexible architecture where each agent is allowed  to communicate with all other agents depending on its needs.;;;;mongodb_here_2025[2], horne_agentic_nodate[1], noauthor_multi_nodate[1];;Grey;
P55;Custom Pattern;In this custom setup, the developer decides which agents can interact with each other and how the control flows between them.;;;Architecture Pattern [1], Multi-Agent Collaboration Pattern [2];Sometimes developers want to define themselves the flow of the intermediate agent outputs.;The solution would be for the developers themselves to define and allow agent communication for handling intermediate outputs.;;;;mongodb_here_2025[2], horne_agentic_nodate[1], noauthor_multi_nodate[1];;Grey;
P56;Decision Trace Logging Pattern;In this pattern the intermediate reasoning steps that allow audits of the model's path to its final answer, are available to the developer for explainability and activity tracking.;;;Explainability & Transparency Pattern;Agent behaviors are hard to debug, audit, and improve when decisions and tool calls are opaque.;Introducing trace logging as a core capability of the system, ensuring that every decision, interaction, and tool invocation is recorded in a structured, searchable way.;;;;mark_lane_2025;;White;
P57;Human Readable Summarization Pattern;Ensures that even complex technical chains of reasoning are distilled into accessible narratives for non expert developers.;;;Explainability & Transparency Pattern;The developers have to be able to understand even the complex technically chains of reasoning and thought that the agents perform, so that they can refine the prompts of the LLMs, the tools used, the data format or retrieval, or the architecture itself.;This pattern guides the LLM to output a short and readable summarization of its reasoning and final answer. ;;;;mark_lane_2025;;White;
P58;Source Attribution Pattern;In this Pattern the Foundation Model is able to refer to the source of its provided information  which promotes trust by making it clear which documents, APIs or datasets influenced the result.;;;Explainability & Transparency Pattern;Developers or users need to check the information source so they can be sure that they can trust the model's outputs.;"The model cites to the user its exact source of information for example ""Doc1 paragraph X"" which allows the user to double check the information on the knowledge base and track if the model is able to retrieve them.";;;;mark_lane_2025;;White;
P59;Confidence Disclosure Pattern;This pattern lets the model communicate its level of certainty about its given answer.;;;Explainability & Transparency Pattern;Sometimes it is needed for LLMs to declare their level of certainty for their given answers.;This pattern prompts the LLM to reveal a confidence measure for key claims it outputs or the overall answer (this measures can be qualitative or quantitative with metrics);;;;mark_lane_2025;;White;
P60;Round Robin Pattern;This pattern ensures that in case multiple LLM agents share a common set of tasks, each of them will get a fair turn to contribute. This means that tasks are evenly distributed among the agents.  ;;;Coordination-Cooperation Pattern;Uneven distribution of tasks between the agents might cause issues in burning out some of the agents or underutilization of the capabilities of others.;This pattern allows the cycling order for task assignment, as each new task is given to the next agent in line, rotating through the set of agents evenly.;;;;mark_lane_2025;;White;
P61;Checkpoint Recovery Pattern [1];This pattern allows a complex multi step process involving LLM agents can gracefully recover if a failure or interruption occurs.;State Checkpoint Pattern [2];;Process Management Pattern [1], Recovery Strategy Pattern [2];If the agentic system does not have checkpoints in case of system failure or interruption, the entire workflow restarts from zero making the whole process inefficient.;This pattern guides the agentic system to record its state and partial outputs at checkpoints. So in case of occuring errors, the system can revert to the most recent checkpoint.;;;;mark_lane_2025;;White;
P62;Progress Monitor Pattern ;In complex multi step workflows, the LLM system keeps track of and reports on its current progress it is not running the whole process in completion but by providing intermediate updates the developer can have an overlook and track the process. ;;;Process Management Pattern ;Without monitoring of the process, developers and agents remain in the dark regarding the workflow�s intermediate states.;Having the LLM system to record and report progress at defined intervals or milestones.;;;;mark_lane_2025;;White;
P63;Token Budget Manager Pattern;This pattern makes sure that when executing complex tasks the LLM system tracks how many tokens it�s consuming, allowing token usage overview and management.;;;Resource Management Pattern;The system might run out of tokens at critical stages of the process, forcefully cutting reasoning short or causing failure late in the process.;Having the system guided  to plan token expenditures up front, track usage at each step, and make dynamic adjustments accordingly.;;;;mark_lane_2025;;White;
P64;Context Window Manager Pattern;With this pattern LLM systems make the most out of their limited context window, instead of appending large amounts of text to each prompt or ignoring important previous information.;;Short-term;Resource Management Pattern, Memory Pattern;The LLM utilized in the agentic system might either lose crucial information by truncating older parts of the conversation or waste tokens on irrelevant details.;Having the LLM system track and manage context usage dynamically, by evaluating which parts of the dialogue or data remain necessary or not, saving costs in token usage and achieving best results with relevant information. ;;;;mark_lane_2025;;White;
P65;Parallel Task Coordinator Pattern;The pattern ensures that in case multiple tasks are processed concurrently, the LLM system orchestrates them efficiently, leveraging available resources to reduce the total completion time.;;;Resource Management Pattern;In many cases in the LLM systems, independent subtasks or separate requests should wait in line for their time to be executed. This increases completion time.;Having he LLM-based system identifies which tasks can safely run in parallel so that latency issues can be limited.;;;;mark_lane_2025;;White;
P66;Circuit Breaker Pattern;When repeating errors occur for example tool failures, the LLM-based system doesn�t keep retrying the failing operation indefinitely.;;;Error Handling Pattern;The agentic system may repeatedly attempt a failing operation, wasting tokens and time, and risking resource exhaustion or task failure.;Setting thresholds for allowable failures. Upon exceeding that threshold, the system stops attempts at the failing operation.;;;;mark_lane_2025;;White;
P67;Asynchronous Workflow Pattern;This pattern allows multiple operations in the agentic system to run concurrently, return results when ready, and feed into  the following steps as they complete.;;;Event-Driven & Asynchronous Pattern, Workflow Pattern;In many system synchronous workflows the poblem arises that for some agents they have to wait for their previous agents' output, resulting to higher latency.;By utilizing this pattern the system is directed to process multiple tasks at the same time whenever their interdependencies allow that. This cuts down overall completion times, introduces parallelism and increases efficiency.;;;;mark_lane_2025;;White;
P68;Dynamic Subscription & Scaling Pattern;This pattern ensures that that agentic AI system can grow and adapt without pausing operations or rebuilding rigid pipelines. In this way the developer is allowed to add, delete or update subscriptions, tools and agentic roles dynamically at inference and makes the systems more adaptable. ;Model Switching & Tiering Pattern;;Workflow Pattern, Performance & Optimization Pattern;Prefixed and non dynamic workflows force the developers of the systems to reacess the tools and processes when there are new ones introduced, something that makes production difficult and  hinders innovation.;Tool, agents and even subscriptions are added or updated during runtime.;;;;mark_lane_2025;;White;
P69;Behavior Bounds Pattern;This pattern ensures that an LLM remains within its given role by the developer with its responsibilities, tasks and goals independently from what the developer prompted it with and also follows a stable policy. ;;;Governance & Ethical Application Pattern;In case the LLM utilized agent does not have behavioral bounds, it might fall upon the trap off harmful user interactions and output anethical output that does not resonate with its purpose.;Setting clear bounds / rule sets that underline what the LLM agent can and cannot do. This pattern can forbid certain outputs and require for example disclaimers in some answers.;;;;mark_lane_2025;;White;
P70;Error Classifier Pattern;This pattern makes sure that when something goes wrong in the agent generation (for example rule violation, token limit, flaued tool calling) the system does not deal with it as a generic error, but instead identifies the nature of the error and it categorizes it into meaningful categories that will help with dealing with it.;;;Error Handling Pattern;An agentic AI system is naturally prone to errors from different sources. The system sould not deal with these issues uniformly cause this will waste time, and fail to actually solving them.;This pattern introduces a classification step that inspects the arised issues and maps them to different categories of errors, allowing for dealing with them in a well structured manner.;;;;mark_lane_2025;;White;
P71;Graceful Degradation Control Pattern [1];With this pattern applied, in case an agentic AI workflow cannot sustain its functionality level it does not simply fail alltogether. Instead it moves to gracefully degrade the completeness of the result so as to provide the user with some type of credible output.;Rollback Manager Pattern [2];;Error Handling Pattern [1], Recovery Strategy Pattern [2];Many agentic AI workflows when dealing with a functionality error or issue (tool invocation for example) fail to produce an output.;With graceful degradation, a fallback of levels of solution quality is defined. So when met with an error, the system steps down in the levels and returns a less good in quality output than the one that would have when everything would work out normally in the workflow. This allows that the system will always output something relevant to the initial call and would not fail completely.;;;;mark_lane_2025;;White;
P72;Error Recovery Chain Pattern;Here, a predefined sequence of simplified solutions would be suggested when an issue arises in the agentic AI workflow's processes. This pattern allows for incremental recovery from the error. ;;;Error Handling Pattern;Without a recovery chain, error handling is a single one shot attempt, meaning that if it fails, the system just aborts or refuses.;Using a sequence of fallback strategies. When an error occurs, the system attempts the first method and if it fails, it moves to the next and so on. Each step is simpler than the last. If all fail, the system provides a minimal safe response or a final refusal, ensuring graceful handling throughout.;;;;mark_lane_2025;;White;
P73;Progressive Recovery Pattern;After a serious failure happens in the agentic system it does not try to fully restore all its previous capabilities at once but it is gradually introducing its previous functionality and data step by step, allowing careful return to full operation. ;;;Recovery Strategy Pattern;When agentic systems fail attempting a full at once return to its normal operations can repeat the same conditions that caused the failure in the first place. ;With the utilization of this pattern a sequence of restore steps takes place. The system starts off from a safe operational mode and gradually reintroduces additional features or data layers one at a time, allowing for stability and providing user with a partial service. ;;;;mark_lane_2025;;White;
P74;Behavior Monitor Pattern ;This pattern makes sure that the agentic AI system does not act like a black box. Instead it tracks and also records important aspects of its performance decisions, resourse usage and error frequencies. After, these are analyzed and collected over time so the system can gain visibility of its esoteric issues before they become severe and spots opportunities for improvements.;;;Monitoring & Adaptation Pattern;When the agentic AI system does not have monitoring, issues and inefficiencies accumulate unnoticed until they cause major failures.;Introducing continuous monitoring tools that record metrics (for example  error counts, resource consumption, violation of policies etc) the system can analyze them and detect violations and deviations from the expected performance.;;;;mark_lane_2025;;White;
P75;Adaptive Controller Pattern;This pattern ensures that the agentic AI system's configurations, resource limits and behavioral parameters are dynamically evolving in response to the system's changing conditions. They are no longer relying on fixed thresholds and policies. Instead the system collects performance indicators and feedback and then adjusts the variables accordingly.;;;Monitoring & Adaptation Pattern;Over time the conditions in an agentic system might change and static settings are not sufficient. For example, the complexity of user queries can change, users demand more accurate responses and some specific error categories become more frequent. Without dynamical adjustments the system becomes non optimal. ;With this pattern monitored data are leveraged and policies/parameters are dynamically adjusted. This process reduces manual updating of policies and conditions and maintains a user centered service by utilizing internal metrics.;;;;mark_lane_2025;;White;
P76;Learning Feedback Pattern;With the application of this pattern, the system does not just handle errors in the moment but learns from past experiences to improve future decisions. By incorporating feedback from users, applications, metrics, or automated evaluations, it updates models, rules, and prompts over time. This approach emphasizes iterative improvement, reducing repeated mistakes and enabling smarter, more reliable interactions.;;;Monitoring & Adaptation Pattern;Without feedback integration, the system stays static, repeating the same mistakes or inefficient strategies and missing chances to improve.;By utilizing this pattern a loop gets created where outcomes, user input, and metrics inform updates to prompts, data, or policies and over time, these cycles reduce errors, improve accuracy, optimize resources, and better align the system with real-world user needs.;;;;mark_lane_2025;;White;
P77;Infrastructure & Containerization Pattern;This pattern makes sure that the agentic AI system can run consistently across different environments  by adopting reproducible and scalable infrastructure designs.;;;Deployment Pattern;The deployments of agentic AI systems can be chaotic without sifficient infrastructure and containerization because the environments have to have different configurations.;With the utilization of containers the system is able to run everywhere normally making deployment easier and scalable. ;;;;mark_lane_2025;;White;
P78;CI/CD Integration for LLM Systems Pattern;This pattern ensures that prompt changes, model updates, and infrastructure tweaks move through an automated pipeline before production. Continuous Integration builds, tests, and validates changes, while Continuous Deployment delivers them safely with minimal manual effort.;;;Deployment Pattern;In agentic AI systems many times updates are slow, error-prone, and risky. Manual deployments or skipped tests increase chances of regressions and downtime. Therefore frequent updates are needed to ensure reliability.;A CI/CD pipeline automates building, testing, and deploying change whether prompts, models, or infrastructure. Verified updates reach production quickly and safely, enabling fast, reliable improvements and an agile response to user needs.;;;;mark_lane_2025;;White;
P79;Edge vs. Cloud Deployment Pattern;In this case the pattern assists with the decision to run the agentic systems either on the network's edge or on the cloud. Cloud deployments offer scalability, elasticity, and easier management, but may suffer from latency and compliance issues. Edge deployments (via regional data centers, on-prem servers, or devices) reduce latency and meet local governance needs, but demand tighter resource management and may limit scalability. A hybrid approach can balance performance, compliance, and cost.;;;Deployment Pattern;Deployment choices for agentic AI systems  can affect latency, cost, compliance, and scalability. ;Evaluation of latency requirements, cost, regulations, and operational complexity. Use edge deployments for low-latency or strict data-control needs, cloud for elastic scaling and global availability, and hybrid setups to combine the benefit which cover core logic in the cloud and on the other hand critical processing at the edge.;;;;mark_lane_2025;;White;
P80;Observability & Monitoring Pattern;This pattern allows the developer or the user to check how the agentic AI system behaves in a production setting. It provides insights and operators that are able to adress issues and optimize configurations.;;;Deployment Pattern, Evaluation & Quality Assurance Pattern;Robust observability is important to occuring operational problems, for example latency spikes, resource bottlenecks and compliance deviatons.;Utilizing multiple observability and monitoring practices, for example collecting metrics, logs and traces. Then these tools get integrated with dashboards and analysis frameworks. These operators can observe trends, set thresholds for alerts and also investigate issues when they come up.;;;;mark_lane_2025;;White;
P81;Disaster Recovery & Backup Strategies Pattern;A pattern that allows for agentic AI systems to survive and recover from catastrophic failures like data corruption or massive network disruptions. It allows the system to return to normal operations with minimal time and data loss. This is achieved by backing up critical stages like for example checkpoints and prompt configurations.;;;Deployment Pattern;Catastrophic failures are also possible in agentic ai systems that deal with a lot of data or are based on networks. A recovery backup plan is therefore needed.;This pattern ensures reliable recovery through regular backups, off-site replicas, and tested restore procedures, with clear recovery point objective and recovery time objective targets. So for example in a disaster, the system can be quickly restored using its backups, spinning up containers elsewhere, and reapplying configurations. ;;;;mark_lane_2025;;White;
P82;Context Refinement Pattern;The pattern focuses on ensuring the agentic AI system operates on most relevant and high quality piece of information possible. This pattern ensures the best approach for refining, distilling or reselecting the context before the generation of the model response.;;;Cognitive Pattern [1], Context-Based Pattern;If no refinement is applied the LLM used by the agentic system might be overloaded by irrelevant context leading to hallucinations and wrong outputs.;Utilization of context refinement that allows the system to reexamine periodically the current context and cut out irrelevant information.;;;;mark_lane_2025[1];;White;
P83;Output Templating Pattern;This pattern allows for the LLM used in the agentic ai system to output its answer in a predefined structure and format.;;;Cognitive Pattern;Sometimes LLMs produce an ouput free from text and they need prompting directions on the format and style of their outputs to match user and goal needs.;With this pattern the LLM is instructed to follow given templates or specific layouts.;;;;mark_lane_2025;;White;
P84;Knowledge Integration Pattern;With knowledge integration the LLM combines information from different sources or datasets into a coherent answer instead of relying on a prompt context or knowledge source. The model retrieves information from multiple sources (tools or KB) making its output more credible.;;;Cognitive Pattern;Most of the times the answers for the user queries in an agentic ai system do not come from one source. ;This pattern instructs the LLM in the agentic system to gather and merge the information from multiple sources.;;;;mark_lane_2025;;White;
P85;Uncertainty Handling Pattern;This pattern allows for the agentic system to identify, manage and communicate its own uncertainty about each answer it gives.;;;Cognitive Pattern;It is common for the LLMs in the agentic AI systems to present outputs with full confidence even if they are truly uncertain.;This pattern instructs the LLM to assess its own confidence and underline areas of doubt offering clarity and reliability.;;;;mark_lane_2025;;White;
P86;Chain of  Draft Pattern;This pattern has LLMs used in agentic AI systems solve complex problems using brief, information dense notes instead of full step by step explanations. Like jotting key points, this approach cuts token use while maintaining reasoning accuracy.;;;Cognitive Pattern;The standard chain of thought reasoning produces verbose intermediate steps, wasting tokens, increasing costs, and slowing responses without improving accuracy.;This pattern has the LLM create concise draft notes for each step, keeping only essential insights. This reduces token use and latency while maintaining reasoning quality.;;;;mark_lane_2025;;White;
P87;Progressive Disclosure Pattern;The pattern ensures not to overwhelm the user with information all at once but instead reveals step by step details responding to the continuously evolving interest and comprehension of the user.;;Human-LLM;Interaction Pattern;Large, dense responses can overwhelm users, making information seem overwhelming, confusing or irrelevant. ;The utilization of the progressive disclosure pattern that delivers a concise, high level answer first. Users can request more details step by step, allowing them to control how much information they receive at a time. ;;;;mark_lane_2025;;White;
P88;Intent Clarification Pattern;The pattern focuses on being sure that the LLMs in the agentic AI system understand what the users want before giving them irrelevant or wrong answers. It is common for users giving vague queries so the model, in this case, asks for clarification when in doubt and attempts to confirm the user's intentions.;;Human-LLM;Interaction Pattern;Users might ask imprecise or ambiguous questions and LLMs might be led to the wrong path. ;Instructing the LLM to identify ambiguities and ask targeted quetions to understand the user's requests.;;;;mark_lane_2025;;White;
P89;Contextual Memory Pattern;Helps the LLM in the agentic system retain key details, past interactions, and user preferences. Without it, each query is treated in isolation. By remembering prior context, the model delivers more relevant, consistent, and natural responses.;;Human-LLM;Interaction Pattern;In a simple setup the LLM in the agentic system might treat the user query isolated, by forgeting past interactions which leads to repetitions and raises user frustration.;preservation and utilization of essential details from previous conversations as needed. ;;;;mark_lane_2025;;White;
P90;Expertise Adaptation Pattern;The pattern ensures that the LLM used in the agentic system adjusts the complexity and technical depth of its repsonses according to the user's background, skill level and likings.;;Human-LLM;Interaction Pattern;The need for the agentic system's output to adapt to user's skill level and not produce answers that the user might not understand and utilize for their goals.;Having the LLM to recall the users' level and expertise and adjust the complexity and technicality of its outputed answers. ;;;;mark_lane_2025;;White;
P91;Collaborative Problem Solving Pattern;This pattern gives the agents the opportunity to work together with each contributing their insights to form a well rounded answer. Here all agents are taking part in a shared reasoning process and they are presenting their different perspectives.;;LLM-LLM;Interaction Pattern ;The reasoning of a simple single agent might be limited due to its biases or training, therefore a collaboration of agents are needed to acieve best results.;Allowing multiple agents to discuss, iterate and refine their solution together in a collaborative manner. ;;;;mark_lane_2025;;White;
P92;Tool Selection Pattern ;Identify and pick the most suitable tool from a set of options, making sure that the agent�s chosen utility aligns with the task at hand.;;Tool;Interaction Pattern;Without a guided selection the LLM utilized in the agentic system migh waste resources by calling irrelevant tools.;Having the LLM to first recongize the user's intent and their need and then evaluate the capabilities and limitations of the existing tools before calling them.;;;;mark_lane_2025;;White;
P93;Tool Chain Composition Pattern;This pattern lets the LLM coordinate multiple tools in a sequence. Each tool�s output feeds into the next, creating a workflow that solves complex and multi step queries beyond the ability of a single tool.;;Tool;Interaction Pattern;Some tasks need multiple steps that a single tool can�t handle. Without structured chaining, the LLM in the agentic system might make improvised calls, leading to incomplete or messy results.;Guiding the LLM in the system to sequence tool calls logically, passing each output to the next. This creates a clear pipeline that ensures coherent and complete results.;;;;mark_lane_2025;;White;
P94;Tool Output Integration Pattern;Ensures that the LLM in the agentic system incorporates tool outputs smoothly into its reasoning and final response. Because without it, raw outputs may be appended without context or coherence. So this pattern helps the model interpret results and present a cohesive answer rather than a patching of fragments.;;Tool;Interaction Pattern;Sometimes the tool outputs of the agentic system's intermediate agents get appended without coherence or context.;Instructing the LLMs in the agentic system to interpret and incorporate the outputs of the tools into its reasoning process, reducing user confusion by explaining the tool responses.;;;;mark_lane_2025;;White;
P95;Multi Modal Integration Pattern;This interaction pattern allows the LLMs into the agentic system to process and reason over multiple data types (text, images, audio) rather than just text. By combining these inputs, the model can generate richer and more context aware outputs.;;Tool;Interaction Pattern;LLMs excel at text but often overlook other data types like images, audio, or structured records. Without integrating these streams, solutions miss important context and insights.;Introducing a �fusion step� so the LLM can process different data types. This can be done via specialized tools or multimodal models, combining the results with textual reasoning to produce a well put answer.;;;;mark_lane_2025;;White;
P96;Data Validation Pattern;By utilizing this pattern the user/developer can be sure that the LLM asseses first the data it will use for any type of data corruption or malformation.;;Data;Interaction Pattern;Need for making sure that the data processed by the agent are in correct format condition, and relevant.;Instructing the LLM used in the agent to asses the data for any malformation, incompleteness and non adherence to needed formats.;;;;mark_lane_2025;;White;
P97;Data Transformation Pattern;Makes sure that when the LLM receives data in a specific - not needed format it has the ability to transform them in the needed form.;;Data;Interaction Pattern;The LLMs need guidance on how to transform data in the needed format because they might attempt processing them, leading to confusion and errors.;Having this pattern allows the LLM to convert any data to any needed by the system form which will lead to more accurate reasoning. ;;;;mark_lane_2025;;White;
P98;Data Chunking Pattern;This pattern takes care of the isue of processing large or comlex datasets. It chunks the data to more manageable and smaller segments, instead of having the model assessing massive amount of information.;;Data;Interaction Pattern;Having no chunking on massive amounts of data to smaller parts, leads to overconsumption of tokens leading to more costs because of token usage.  ;By chunking large amounts of data into smaller segments the model processes each chunk independently and then merges their intermediate outcomes, allowing the model clarity.;;;;mark_lane_2025;;White;
P99;Information Distillation Pattern;It ensures that as conversations or reasoning grow, older content is compressed into concise, essential summaries. Instead of keeping every detail in the context, the system distills past information into key points or structured notes.;;Short-term;Memory Pattern;Without distillation, memory either bloats with unnecessary details or discards old content, losing important insights. In that sense coherence and efficiency are reduced.;Allowing for the system to periodically condense older content into brief summaries of key points, decisions, and data. This preserves essential knowledge while keeping the context manageable, ensuring finally coherence and efficiency.;;;;mark_lane_2025;;White;
P100;Context Refresh Pattern;It is a pattern that ensures that as tasks into the intermediate steps of the agentic system evolve, the intermediate memory of the language model does not become outdated but on the contrary, this approach re-examines what is in the context window and updates it to reflect the current state of the conversation or the reasoning process.;;Short-term;Memory Pattern;Old incorrect assumptions of the intermediate steps of the agentic system may persist, degrading the efficiency of reaching a solution.;Allowing the context to be revisited and any incorrect parts get replaced with updated information or even removed entirely. This keeps the active prompt context up to date and relative to the latest knowledge and conditions.;;;;mark_lane_2025;;White;
P101;Hierarchical Memory Store Pattern;This pattern ensures that the long term knowledge is organised in a structured format (like a tree format or nested formats) and this can help the used LLM to navigate and retrieve the information more efficiently and organised. This also helps into finding conceptual relationships between the data.;;Long-term;Memory Pattern;By having the data as a flat pile retrieval becomes difficult and inefficient.;In this manner of hving the data hierarchically organised the LLM can more easily fetch the data and realise the relationship between them to be able to utilize it in the prompt. ;;;;mark_lane_2025;;White;
P102;Episodic Memory Pattern ;The pattern enables an agentic system to recall information tied to specific past sessions or interactions. Rather than storing all long-term knowledge as one static pool, it organizes data into temporal segments, with each representing a distinct conversation or event. This structure helps the system reconstruct past contexts, trace how conclusions were reached, and maintain continuity across engagements over time.;;Long-term;Memory Pattern;Past knowledge in agentic systems can be archived and it might be difficult to track what occurred in previous interactions or sessions.;Having information stored as seperate episodes and each one corresponding to a different conversation session. This allows for loading only the episode that is relevant to the current query without burdening the system with loads of uneeded information.;;;;mark_lane_2025;;White;
P103;Semantic Compression Pattern;Here long term knowledge is represented in a more conceptual form. Only essential meanings and relationships are encoded. That limits token usage as well as improves retrieval efficiency, leding to a more meaningful way of storing useful information.;;Long-term;Memory Pattern;Storing and re-reading large amounts of raw text is costly and inefficient. Without compression, the LLM wastes tokens, slows down, and risks losing precision when handling lengthy content.;With the utilization of this pattern detailed information are turned into conceptual nodes, key-value pairs, graphs, or summaries that preserve meaning. When needed, the agentic system retrieves and expands these compressed forms, creating a lean, concept-driven memory that improves efficiency and clarity while minimizing unnecessary details.;;;;mark_lane_2025;;White;
P104;Context Stack Pattern [1];Allows an agentic LLM system to manage nested subtasks, side explorations, or temporary shifts in focus by organizing contexts in a stack-like structure. Each new sub-context is �pushed� onto the stack as the active working memory, and once finished, it is �popped� to restore the previous state.;Context Memory [2];;Context-Based Pattern;LLMs in agentic systems need a structured way to be able to deal with temporary or nested context shifts.;In this pattern when a sub-context is needed the system pushes it to a stack and it makes it the current active context. When this is done then the system pops that top layer off and it reveals the previous generated context unchanged. ;;;;mark_lane_2025[1], wray_applying_2025[2];;White;
P105;Context Switching Pattern;Ensures that the agentic system can proceed from one context set to the other without confusion or data leakage. Here, a structured method of pausing and storing one context while resuming another is revealed. This switching of information lets the model handle multiple domains and sessions without undesirably merging them. ;;;Context-Based Pattern;Without smooth context switching, the LLM either gets stuck in one thread or drops prior context when changing tasks, leading to confusion, inefficiency, or repeated rederivations.;Utilization of this pattern allows for storing of contexts separately and allows switching between them. When they come to switching, the current context is saved, the new one is activated, and later the system can return to the original without mixing details or starting over.;;;;mark_lane_2025;;White;
P106;Context Inheritance Pattern;This pattern ensures that when a new sub-context is created, it automatically inherits essential details, constraints, and facts from its parent context, allowing for reduced repetition and incremental specialization.;;;Context-Based Pattern;Without inheritance, each new context starts in isolation, forcing repeated reintroduction of facts, constraints, or policies. This wastes tokens and risks inconsistencies if details are missed.;Ensuring that new subcontexts automatically inherit key facts, constraints, and goals from their parent. The child context can then refine or extend this baseline, giving the used LLM a prefilled, coherent foundation that preserves continuity.;;;;mark_lane_2025;;White;
